Restro Link,Image Link,Offer,Name,Food Type,Address
https://www.swiggy.com/restaurants/nafees-restaurant-professor-colony-bhawar-kuan-indore-292119,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/bmmsvclvyb6fuqb9hxyo",₹125 OFF ABOVE ₹249,Nafees restaurant,"Mughlai, Biryani, North Indian, Chinese, Snacks, Desserts",Bhawar Kuan
https://www.swiggy.com/restaurants/nothing-before-coffee-a-sector-sudama-nagar-indore-576417,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/fodjyfr098im8x0zuaal",20% OFF UPTO ₹50,Nothing Before Coffee,"Beverages, Snacks, Desserts",Sudama Nagar
https://www.swiggy.com/restaurants/baskin-robbins-ice-cream-desserts-usha-nagar-sudama-nagar-indore-338727,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/85ccae4e3576f9330af102c46ca85395",10% OFF ABOVE ₹1000,Baskin Robbins - Ice Cream Desserts,"Desserts, Ice Cream",Sudama Nagar
https://www.swiggy.com/restaurants/guru-kripa-rau-since-1987-ab-road-rau-indore-455875,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/armyyafnwdvglosinqaz",₹125 OFF ABOVE ₹199,Guru kripa Rau Since -1987,"North Indian, Thalis, Chinese, South Indian, Fast Food, Pizzas, Italian, Beverages, Indian, Jain",Rau
https://www.swiggy.com/restaurants/bake-n-shake-scheme-78-vijay-nagar-indore-64128,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ar8syi5eefiomudc6fxx",,Bake N Shake,"Italian, Bakery",Vijay Nagar
https://www.swiggy.com/restaurants/wow-china-treasure-island-mall-mg-road-indore-625687,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/86dd0eb09ab2f995cf8ddf80fee3b818",,Wow! China,"American, Snacks, Beverages, Continental",Mg Road
https://www.swiggy.com/restaurants/barbeque-nation-treasure-island-mall-tukoganj-indore-322539,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/yllayyaltqyeear9nh2e",20% OFF UPTO ₹50,Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",Tukoganj
https://www.swiggy.com/restaurants/v-cafe-meals-by-pvr-treasure-island-mall-tukoganj-indore-351174,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/cfcbt8r9rzwpj0gdvbob",60% OFF UPTO ₹120,V Cafe - Meals By PVR,"Pizzas, Snacks, American",Tukoganj
https://www.swiggy.com/restaurants/shyam-sandwich-sudama-nagar-indore-762645,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/87d7877e4ca8634bcf01b01ca4445061",25% OFF,Shyam Sandwich,"Fast Food, Beverages",Sudama Nagar
https://www.swiggy.com/restaurants/maa-ki-rasoi-gopur-square-sudama-nagar-indore-73369,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/b1h0agx8ysx7w6ybrygc",₹125 OFF ABOVE ₹199,Maa Ki Rasoi,"North Indian, Thalis, South Indian, Chinese",Sudama Nagar
